A,N,n_abs,p_hat,p_ci,mean_ng,mean_nc,chi2_p,k_cyc
0.5,4,200,0.282,"[0.266,0.300]",2.54,6.44,0.000,2.09
0.5,8,200,0.365,"[0.348,0.384]",1.74,6.91,0.000,2.13
0.5,16,200,0.427,"[0.409,0.447]",1.34,6.32,0.000,2.15
0.5,24,200,0.440,"[0.424,0.457]",1.27,5.56,0.000,2.65
0.5,32,200,0.436,"[0.422,0.451]",1.29,5.85,0.000,2.11
0.5,48,200,0.443,"[0.430,0.458]",1.25,5.21,0.000,2.29
0.5,64,200,0.443,"[0.430,0.458]",1.25,4.95,0.000,2.89
0.2,4,49,0.343,"[0.303,0.394]",1.92,4.67,0.000,2.07
0.2,8,25,0.543,"[0.456,0.672]",0.84,2.98,0.090,5.59
0.2,16,22,0.759,"[0.659,0.894]",0.32,2.45,1.000,—
0.2,24,23,0.885,"[0.759,1.000]",0.13,—,1.000,—
0.2,32,29,0.879,"[0.790,0.990]",0.14,—,1.000,—
0.2,48,23,0.920,"[0.830,1.000]",0.09,—,1.000,—
0.2,64,27,0.964,"[0.901,1.000]",0.04,—,1.000,—
