A,N,n,tau_graze,tau_graze_ci,km_graze,tau_abs,tau_abs_ci,km_abs,abs_cens_frac,surv_abs_2000
0.5,4,200,38.7,"[33.7,44.6]",21.4,139.1,"[121.1,160.5]",126.7,0.00,0.00
0.5,8,200,65.9,"[57.4,76.1]",55.3,152.5,"[132.8,176.0]",143.3,0.00,0.00
0.5,16,200,72.2,"[62.9,83.4]",67.0,143.3,"[124.8,165.4]",132.6,0.00,0.00
0.5,24,200,63.7,"[55.5,73.6]",62.5,131.2,"[114.2,151.5]",125.9,0.00,0.00
0.5,32,200,66.6,"[58.0,76.9]",62.1,136.1,"[118.5,157.1]",130.2,0.00,0.00
0.5,48,200,67.8,"[59.0,78.3]",66.7,136.4,"[118.8,157.5]",125.2,0.00,0.00
0.5,64,200,67.4,"[58.7,77.8]",67.1,135.1,"[117.6,156.0]",126.9,0.00,0.00
0.2,4,100,32.7,"[26.8,40.2]",8.2,2173.2,"[1643.8,2937.5]",—,0.51,0.51
0.2,8,100,109.0,"[89.2,134.5]",25.9,6050.5,"[4098.7,9349.5]",—,0.75,0.75
0.2,16,100,27.5,"[22.6,33.7]",28.5,7128.1,"[4708.1,11374.1]",—,0.78,0.78
0.2,24,100,29.6,"[24.4,36.4]",30.1,6731.7,"[4486.3,10619.3]",—,0.77,0.77
0.2,32,100,27.9,"[22.9,34.2]",28.5,4932.0,"[3434.2,7364.4]",—,0.71,0.71
0.2,48,100,29.7,"[24.4,36.5]",28.8,6729.3,"[4484.7,10615.5]",—,0.77,0.77
0.2,64,100,29.7,"[24.4,36.5]",29.4,5440.6,"[3739.4,8255.8]",—,0.73,0.73
