condition,beta,N,P,run_index,seed,tau,event,established,max_rho_std_early
b0.1250_N64,0.125,64,10,0,20270000,348.0,1,1,0.28465673652366874
b0.1250_N64,0.125,64,10,1,20270001,929.0,1,1,0.3080828519713904
b0.1250_N64,0.125,64,10,2,20270002,2586.0,1,1,0.28180188493530867
b0.1250_N64,0.125,64,10,3,20270003,228.5,1,1,0.2061750884322759
b0.1250_N64,0.125,64,10,4,20270004,145.0,1,1,0.2030699796623416
b0.1250_N64,0.125,64,10,5,20270005,516.0,1,1,0.2540141801111089
b0.1250_N64,0.125,64,10,6,20270006,413.0,1,1,0.24139075164074425
b0.1250_N64,0.125,64,10,7,20270007,243.5,1,1,0.2298962161774628
b0.1250_N64,0.125,64,10,8,20270008,970.0,1,1,0.2650969832856999
b0.1250_N64,0.125,64,10,9,20270009,314.0,1,1,0.24949057630800775
b0.1250_N64,0.125,64,10,10,20270010,1134.0,1,1,0.2832995858932178
b0.1250_N64,0.125,64,10,11,20270011,570.0,1,1,0.2643352406157507
b0.1250_N64,0.125,64,10,12,20270012,1076.5,1,1,0.27472774600682043
b0.1250_N64,0.125,64,10,13,20270013,928.0,1,1,0.25201802290095315
b0.1250_N64,0.125,64,10,14,20270014,236.0,1,1,0.2372611712439535
b0.1250_N64,0.125,64,10,15,20270015,697.0,1,1,0.28087036739682636
b0.1250_N64,0.125,64,10,16,20270016,630.5,1,1,0.24267012392802614
b0.1250_N64,0.125,64,10,17,20270017,222.0,1,1,0.24589471459134274
b0.1250_N64,0.125,64,10,18,20270018,406.0,1,1,0.2573142088435652
b0.1250_N64,0.125,64,10,19,20270019,311.0,1,1,0.22100906715626806
b0.1250_N64,0.125,64,10,20,20270020,1099.5,1,1,0.26071474700396324
b0.1250_N64,0.125,64,10,21,20270021,1486.5,1,1,0.29698155450485203
b0.1250_N64,0.125,64,10,22,20270022,548.5,1,1,0.2662450171801885
b0.1250_N64,0.125,64,10,23,20270023,283.5,1,1,0.20591553208638858
b0.1250_N64,0.125,64,10,24,20270024,414.5,1,1,0.2725826777362669
b0.1250_N64,0.125,64,10,25,20270025,557.0,1,1,0.2678144693881694
b0.1250_N64,0.125,64,10,26,20270026,1190.0,1,1,0.2757109563123136
b0.1250_N64,0.125,64,10,27,20270027,292.0,1,1,0.22862879551603646
b0.1250_N64,0.125,64,10,28,20270028,634.5,1,1,0.2488159146993182
b0.1250_N64,0.125,64,10,29,20270029,291.0,1,1,0.258256256604651
b0.1250_N64,0.125,64,10,30,20270030,1573.0,1,1,0.27869033382785025
b0.1250_N64,0.125,64,10,31,20270031,1591.0,1,1,0.27675019731545275
b0.1250_N64,0.125,64,10,32,20270032,321.5,1,1,0.2362885304720699
b0.1250_N64,0.125,64,10,33,20270033,266.5,1,1,0.29768334160450555
b0.1250_N64,0.125,64,10,34,20270034,681.0,1,1,0.28249244410937674
b0.1250_N64,0.125,64,10,35,20270035,365.5,1,1,0.27978122599308475
b0.1250_N64,0.125,64,10,36,20270036,373.0,1,1,0.30104439216352735
b0.1250_N64,0.125,64,10,37,20270037,270.5,1,1,0.21450374777625295
b0.1250_N64,0.125,64,10,38,20270038,896.5,1,1,0.2739053060009545
b0.1250_N64,0.125,64,10,39,20270039,572.0,1,1,0.2581526404111538
b0.1250_N64,0.125,64,10,40,20270040,1093.5,1,1,0.3003639323276763
b0.1250_N64,0.125,64,10,41,20270041,520.5,1,1,0.2763471373809531
b0.1250_N64,0.125,64,10,42,20270042,1631.0,1,1,0.25925110973431864
b0.1250_N64,0.125,64,10,43,20270043,491.0,1,1,0.25052993787303895
b0.1250_N64,0.125,64,10,44,20270044,501.0,1,1,0.25509385404680834
b0.1250_N64,0.125,64,10,45,20270045,1043.5,1,1,0.2849128003354435
b0.1250_N64,0.125,64,10,46,20270046,168.5,1,1,0.20944132064854468
b0.1250_N64,0.125,64,10,47,20270047,713.5,1,1,0.25586715733160004
b0.1250_N64,0.125,64,10,48,20270048,345.5,1,1,0.26452944989139054
b0.1250_N64,0.125,64,10,49,20270049,212.0,1,1,0.21075144702844276
b0.1250_N64,0.125,64,10,50,20270050,1849.0,1,1,0.2697797951840701
b0.1250_N64,0.125,64,10,51,20270051,416.0,1,1,0.23363815775925456
b0.1250_N64,0.125,64,10,52,20270052,493.0,1,1,0.29044410149198185
b0.1250_N64,0.125,64,10,53,20270053,2158.0,1,1,0.2901310445899404
b0.1250_N64,0.125,64,10,54,20270054,573.5,1,1,0.2955090152183939
b0.1250_N64,0.125,64,10,55,20270055,646.0,1,1,0.25186288600177753
b0.1250_N64,0.125,64,10,56,20270056,583.5,1,1,0.25373527483907166
b0.1250_N64,0.125,64,10,57,20270057,1626.0,1,1,0.2632986369885122
b0.1250_N64,0.125,64,10,58,20270058,475.5,1,1,0.26719716748740446
b0.1250_N64,0.125,64,10,59,20270059,1922.0,1,1,0.27245160567105736
b0.1250_N64,0.125,64,10,60,20270060,306.0,1,1,0.25185524485300376
b0.1250_N64,0.125,64,10,61,20270061,268.0,1,1,0.237511195197899
b0.1250_N64,0.125,64,10,62,20270062,765.0,1,1,0.2692986902126836
b0.1250_N64,0.125,64,10,63,20270063,348.5,1,1,0.23623092571408202
b0.1250_N64,0.125,64,10,64,20270064,528.5,1,1,0.2454204737687323
b0.1250_N64,0.125,64,10,65,20270065,294.5,1,1,0.23238448120189115
b0.1250_N64,0.125,64,10,66,20270066,637.0,1,1,0.27163535813203976
b0.1250_N64,0.125,64,10,67,20270067,565.0,1,1,0.2505320254387636
b0.1250_N64,0.125,64,10,68,20270068,629.5,1,1,0.300911581697431
b0.1250_N64,0.125,64,10,69,20270069,195.5,1,1,0.19949053681779091
b0.1250_N64,0.125,64,10,70,20270070,434.0,1,1,0.2589312327735397
b0.1250_N64,0.125,64,10,71,20270071,2523.5,1,1,0.2809395373489115
b0.1250_N64,0.125,64,10,72,20270072,319.0,1,1,0.24542067980489143
b0.1250_N64,0.125,64,10,73,20270073,161.5,1,1,0.19487532298456944
b0.1250_N64,0.125,64,10,74,20270074,269.5,1,1,0.21330404908125836
b0.1250_N64,0.125,64,10,75,20270075,787.0,1,1,0.2716236689338758
b0.1250_N64,0.125,64,10,76,20270076,1232.0,1,1,0.3063304211611336
b0.1250_N64,0.125,64,10,77,20270077,233.5,1,1,0.2563377529108795
b0.1250_N64,0.125,64,10,78,20270078,348.5,1,1,0.23488636580516137
b0.1250_N64,0.125,64,10,79,20270079,1031.5,1,1,0.2924281613233433
b0.1250_N64,0.125,64,10,80,20270080,225.5,1,1,0.246532014425911
b0.1250_N64,0.125,64,10,81,20270081,920.5,1,1,0.2991627024506491
b0.1250_N64,0.125,64,10,82,20270082,300.0,1,1,0.2747647637189924
b0.1250_N64,0.125,64,10,83,20270083,510.5,1,1,0.27540946964337354
b0.1250_N64,0.125,64,10,84,20270084,388.5,1,1,0.25645081536980685
b0.1250_N64,0.125,64,10,85,20270085,139.5,1,1,0.2074336728534116
b0.1250_N64,0.125,64,10,86,20270086,153.5,1,1,0.24164208191715916
b0.1250_N64,0.125,64,10,87,20270087,921.5,1,1,0.29383146823982603
b0.1250_N64,0.125,64,10,88,20270088,524.0,1,1,0.27971791816929653
b0.1250_N64,0.125,64,10,89,20270089,183.0,1,1,0.20168802918320955
b0.1250_N64,0.125,64,10,90,20270090,806.5,1,1,0.28617570799189856
b0.1250_N64,0.125,64,10,91,20270091,646.5,1,1,0.28704897058484813
b0.1250_N64,0.125,64,10,92,20270092,154.0,1,1,0.20660451752146997
b0.1250_N64,0.125,64,10,93,20270093,362.5,1,1,0.24551043533120495
b0.1250_N64,0.125,64,10,94,20270094,644.0,1,1,0.27868026211080826
b0.1250_N64,0.125,64,10,95,20270095,705.5,1,1,0.29726605711764464
b0.1250_N64,0.125,64,10,96,20270096,215.0,1,1,0.2355269103054601
b0.1250_N64,0.125,64,10,97,20270097,285.5,1,1,0.23905189149030504
b0.1250_N64,0.125,64,10,98,20270098,1885.0,1,1,0.27829252976411156
b0.1250_N64,0.125,64,10,99,20270099,623.5,1,1,0.27736841050047484
b0.1250_N128,0.125,128,19,0,20270100,642.0,1,1,0.25547785463113604
b0.1250_N128,0.125,128,19,1,20270101,930.0,1,1,0.24808209034607323
b0.1250_N128,0.125,128,19,2,20270102,245.5,1,1,0.2275190394900243
b0.1250_N128,0.125,128,19,3,20270103,398.5,1,1,0.27922144616330374
b0.1250_N128,0.125,128,19,4,20270104,667.0,1,1,0.24844256646092625
b0.1250_N128,0.125,128,19,5,20270105,1010.0,1,1,0.2752901879663739
b0.1250_N128,0.125,128,19,6,20270106,492.0,1,1,0.2552055160487359
b0.1250_N128,0.125,128,19,7,20270107,1059.0,1,1,0.2917851918843506
b0.1250_N128,0.125,128,19,8,20270108,399.5,1,1,0.26897196481972835
b0.1250_N128,0.125,128,19,9,20270109,517.0,1,1,0.25340555598738834
b0.1250_N128,0.125,128,19,10,20270110,253.0,1,1,0.2492838624971055
b0.1250_N128,0.125,128,19,11,20270111,745.0,1,1,0.25460325963867597
b0.1250_N128,0.125,128,19,12,20270112,277.0,1,1,0.23792225284934362
b0.1250_N128,0.125,128,19,13,20270113,335.0,1,1,0.2787503117966977
b0.1250_N128,0.125,128,19,14,20270114,662.0,1,1,0.268216713137932
b0.1250_N128,0.125,128,19,15,20270115,607.0,1,1,0.2749841833981332
b0.1250_N128,0.125,128,19,16,20270116,204.0,1,1,0.23404275448818854
b0.1250_N128,0.125,128,19,17,20270117,512.5,1,1,0.2618870858993904
b0.1250_N128,0.125,128,19,18,20270118,249.0,1,1,0.23350899007674122
b0.1250_N128,0.125,128,19,19,20270119,414.0,1,1,0.2510401021494575
b0.1250_N128,0.125,128,19,20,20270120,319.0,1,1,0.25792111447156146
b0.1250_N128,0.125,128,19,21,20270121,491.0,1,1,0.2657874495538576
b0.1250_N128,0.125,128,19,22,20270122,379.0,1,1,0.2687130831276795
b0.1250_N128,0.125,128,19,23,20270123,336.0,1,1,0.32475599027106444
b0.1250_N128,0.125,128,19,24,20270124,522.5,1,1,0.27376474986793514
b0.1250_N128,0.125,128,19,25,20270125,395.5,1,1,0.25682130242793955
b0.1250_N128,0.125,128,19,26,20270126,594.5,1,1,0.21514983988962538
b0.1250_N128,0.125,128,19,27,20270127,349.0,1,1,0.2889186504526427
b0.1250_N128,0.125,128,19,28,20270128,381.0,1,1,0.22339005305868018
b0.1250_N128,0.125,128,19,29,20270129,345.0,1,1,0.25689344876004716
b0.1250_N128,0.125,128,19,30,20270130,620.5,1,1,0.2588208992287391
b0.1250_N128,0.125,128,19,31,20270131,999.5,1,1,0.27883246994973515
b0.1250_N128,0.125,128,19,32,20270132,432.0,1,1,0.2487425762731798
b0.1250_N128,0.125,128,19,33,20270133,421.5,1,1,0.22324414097595835
b0.1250_N128,0.125,128,19,34,20270134,669.0,1,1,0.28079573219825993
b0.1250_N128,0.125,128,19,35,20270135,513.5,1,1,0.3005119015854037
b0.1250_N128,0.125,128,19,36,20270136,260.0,1,1,0.2374060071980409
b0.1250_N128,0.125,128,19,37,20270137,518.0,1,1,0.25498652535618765
b0.1250_N128,0.125,128,19,38,20270138,513.0,1,1,0.28776297593856465
b0.1250_N128,0.125,128,19,39,20270139,291.0,1,1,0.19732947550096847
b0.1250_N128,0.125,128,19,40,20270140,346.5,1,1,0.2559541360843505
b0.1250_N128,0.125,128,19,41,20270141,172.5,1,1,0.21111736498851869
b0.1250_N128,0.125,128,19,42,20270142,432.0,1,1,0.2651484014980928
b0.1250_N128,0.125,128,19,43,20270143,319.5,1,1,0.28674140694874817
b0.1250_N128,0.125,128,19,44,20270144,1367.5,1,1,0.25600917155768843
b0.1250_N128,0.125,128,19,45,20270145,226.0,1,1,0.20928920097731804
b0.1250_N128,0.125,128,19,46,20270146,825.0,1,1,0.2486442197317122
b0.1250_N128,0.125,128,19,47,20270147,921.0,1,1,0.2883172960467067
b0.1250_N128,0.125,128,19,48,20270148,173.5,1,1,0.20702925762594207
b0.1250_N128,0.125,128,19,49,20270149,516.5,1,1,0.2685276834146921
b0.1250_N128,0.125,128,19,50,20270150,774.5,1,1,0.2946313166242072
b0.1250_N128,0.125,128,19,51,20270151,685.5,1,1,0.2574898104624075
b0.1250_N128,0.125,128,19,52,20270152,182.5,1,1,0.22107103342988696
b0.1250_N128,0.125,128,19,53,20270153,307.0,1,1,0.27388805713932896
b0.1250_N128,0.125,128,19,54,20270154,368.5,1,1,0.2503554148148289
b0.1250_N128,0.125,128,19,55,20270155,355.0,1,1,0.2600096902434745
b0.1250_N128,0.125,128,19,56,20270156,448.5,1,1,0.25199976751872766
b0.1250_N128,0.125,128,19,57,20270157,161.0,1,1,0.1883377621248487
b0.1250_N128,0.125,128,19,58,20270158,693.0,1,1,0.29490347312692256
b0.1250_N128,0.125,128,19,59,20270159,1503.0,1,1,0.3173377713382687
b0.1250_N128,0.125,128,19,60,20270160,247.0,1,1,0.27733164354996265
b0.1250_N128,0.125,128,19,61,20270161,796.0,1,1,0.2745467867942491
b0.1250_N128,0.125,128,19,62,20270162,253.5,1,1,0.21414059255535098
b0.1250_N128,0.125,128,19,63,20270163,452.0,1,1,0.2570830683904414
b0.1250_N128,0.125,128,19,64,20270164,480.0,1,1,0.2582501619443521
b0.1250_N128,0.125,128,19,65,20270165,125.5,1,1,0.23871717496933215
b0.1250_N128,0.125,128,19,66,20270166,275.5,1,1,0.25869472967845264
b0.1250_N128,0.125,128,19,67,20270167,268.0,1,1,0.23929701021319721
b0.1250_N128,0.125,128,19,68,20270168,601.0,1,1,0.3240152307696358
b0.1250_N128,0.125,128,19,69,20270169,411.0,1,1,0.24323869026553133
b0.1250_N128,0.125,128,19,70,20270170,527.0,1,1,0.26858697721330704
b0.1250_N128,0.125,128,19,71,20270171,217.0,1,1,0.19948602263037635
b0.1250_N128,0.125,128,19,72,20270172,182.5,1,1,0.2163629115737009
b0.1250_N128,0.125,128,19,73,20270173,525.5,1,1,0.2833600809153084
b0.1250_N128,0.125,128,19,74,20270174,720.0,1,1,0.2556147852105442
b0.1250_N128,0.125,128,19,75,20270175,723.5,1,1,0.2761545314740466
b0.1250_N128,0.125,128,19,76,20270176,623.5,1,1,0.2594936092739778
b0.1250_N128,0.125,128,19,77,20270177,372.5,1,1,0.2615502211768519
b0.1250_N128,0.125,128,19,78,20270178,817.0,1,1,0.25769171439517197
b0.1250_N128,0.125,128,19,79,20270179,256.0,1,1,0.22528656683613685
b0.1250_N128,0.125,128,19,80,20270180,153.0,1,1,0.20160331486221011
b0.1250_N128,0.125,128,19,81,20270181,326.0,1,1,0.23268104350770571
b0.1250_N128,0.125,128,19,82,20270182,354.5,1,1,0.2038372003883672
b0.1250_N128,0.125,128,19,83,20270183,819.5,1,1,0.26792294316233545
b0.1250_N128,0.125,128,19,84,20270184,653.5,1,1,0.2560374409163591
b0.1250_N128,0.125,128,19,85,20270185,406.5,1,1,0.27810730066082145
b0.1250_N128,0.125,128,19,86,20270186,181.0,1,1,0.1670461194522963
b0.1250_N128,0.125,128,19,87,20270187,458.0,1,1,0.24837575220042155
b0.1250_N128,0.125,128,19,88,20270188,712.5,1,1,0.26054812108463116
b0.1250_N128,0.125,128,19,89,20270189,215.0,1,1,0.20580527649689423
b0.1250_N128,0.125,128,19,90,20270190,170.0,1,1,0.20477761694397348
b0.1250_N128,0.125,128,19,91,20270191,512.0,1,1,0.27515180441360965
b0.1250_N128,0.125,128,19,92,20270192,365.5,1,1,0.25039736893910125
b0.1250_N128,0.125,128,19,93,20270193,374.0,1,1,0.26223934634816903
b0.1250_N128,0.125,128,19,94,20270194,1168.5,1,1,0.26405031080623836
b0.1250_N128,0.125,128,19,95,20270195,625.0,1,1,0.23354173490990884
b0.1250_N128,0.125,128,19,96,20270196,194.5,1,1,0.19110904465948905
b0.1250_N128,0.125,128,19,97,20270197,217.5,1,1,0.19768018157363915
b0.1250_N128,0.125,128,19,98,20270198,883.5,1,1,0.25350670680544285
b0.1250_N128,0.125,128,19,99,20270199,690.0,1,1,0.24210896674834068
b0.1250_N256,0.125,256,38,0,20270200,230.5,1,1,0.2458236127716693
b0.1250_N256,0.125,256,38,1,20270201,975.0,1,1,0.2873178258602612
b0.1250_N256,0.125,256,38,2,20270202,276.0,1,1,0.24389277700778933
b0.1250_N256,0.125,256,38,3,20270203,252.0,1,1,0.2618914234098212
b0.1250_N256,0.125,256,38,4,20270204,748.5,1,1,0.24905424529880696
b0.1250_N256,0.125,256,38,5,20270205,364.5,1,1,0.2146102750527268
b0.1250_N256,0.125,256,38,6,20270206,306.5,1,1,0.2588358483054782
b0.1250_N256,0.125,256,38,7,20270207,303.5,1,1,0.25082099347712605
b0.1250_N256,0.125,256,38,8,20270208,210.5,1,1,0.23207454081394957
b0.1250_N256,0.125,256,38,9,20270209,134.5,1,1,0.21030117065590365
b0.1250_N256,0.125,256,38,10,20270210,566.5,1,1,0.24134969101177264
b0.1250_N256,0.125,256,38,11,20270211,390.0,1,1,0.2562978004353189
b0.1250_N256,0.125,256,38,12,20270212,666.0,1,1,0.27799200229327997
b0.1250_N256,0.125,256,38,13,20270213,1291.5,1,1,0.29131939502447274
b0.1250_N256,0.125,256,38,14,20270214,321.5,1,1,0.23309501028869728
b0.1250_N256,0.125,256,38,15,20270215,664.0,1,1,0.26317030087481436
b0.1250_N256,0.125,256,38,16,20270216,802.0,1,1,0.2796466627581002
b0.1250_N256,0.125,256,38,17,20270217,855.5,1,1,0.25808815465542345
b0.1250_N256,0.125,256,38,18,20270218,767.5,1,1,0.28610879756907376
b0.1250_N256,0.125,256,38,19,20270219,900.0,1,1,0.28814762358673224
b0.1250_N256,0.125,256,38,20,20270220,1002.5,1,1,0.2852815108037668
b0.1250_N256,0.125,256,38,21,20270221,981.5,1,1,0.25943284597238797
b0.1250_N256,0.125,256,38,22,20270222,1250.0,1,1,0.30289930547993965
b0.1250_N256,0.125,256,38,23,20270223,1282.5,1,1,0.3016148991676701
b0.1250_N256,0.125,256,38,24,20270224,613.5,1,1,0.2813504618919261
b0.1250_N256,0.125,256,38,25,20270225,160.0,1,1,0.28520281859429675
b0.1250_N256,0.125,256,38,26,20270226,502.5,1,1,0.24687927906863125
b0.1250_N256,0.125,256,38,27,20270227,192.5,1,1,0.23923439879575817
b0.1250_N256,0.125,256,38,28,20270228,459.0,1,1,0.24390660323903732
b0.1250_N256,0.125,256,38,29,20270229,853.5,1,1,0.25428550578540215
b0.1250_N256,0.125,256,38,30,20270230,354.0,1,1,0.27826148354719427
b0.1250_N256,0.125,256,38,31,20270231,936.0,1,1,0.2620790392666038
b0.1250_N256,0.125,256,38,32,20270232,857.5,1,1,0.22939185203423615
b0.1250_N256,0.125,256,38,33,20270233,367.0,1,1,0.25603478313731426
b0.1250_N256,0.125,256,38,34,20270234,1690.5,1,1,0.2859988225312183
b0.1250_N256,0.125,256,38,35,20270235,630.0,1,1,0.2671152937978043
b0.1250_N256,0.125,256,38,36,20270236,864.5,1,1,0.27221715944517383
b0.1250_N256,0.125,256,38,37,20270237,318.5,1,1,0.2524672303473394
b0.1250_N256,0.125,256,38,38,20270238,478.5,1,1,0.2771931274493726
b0.1250_N256,0.125,256,38,39,20270239,320.0,1,1,0.2198966919960732
b0.1250_N256,0.125,256,38,40,20270240,350.0,1,1,0.20393789179663444
b0.1250_N256,0.125,256,38,41,20270241,1004.0,1,1,0.29960939399538045
b0.1250_N256,0.125,256,38,42,20270242,130.0,1,1,0.2123623687340493
b0.1250_N256,0.125,256,38,43,20270243,1153.5,1,1,0.28532197787237173
b0.1250_N256,0.125,256,38,44,20270244,323.5,1,1,0.28355498510603155
b0.1250_N256,0.125,256,38,45,20270245,216.5,1,1,0.2024287132000982
b0.1250_N256,0.125,256,38,46,20270246,292.5,1,1,0.23763576372952738
b0.1250_N256,0.125,256,38,47,20270247,237.0,1,1,0.24425213598426204
b0.1250_N256,0.125,256,38,48,20270248,678.0,1,1,0.2786796786896138
b0.1250_N256,0.125,256,38,49,20270249,1334.5,1,1,0.2672602060492181
b0.1250_N256,0.125,256,38,50,20270250,247.0,1,1,0.2518307169049859
b0.1250_N256,0.125,256,38,51,20270251,1163.5,1,1,0.22494104455209754
b0.1250_N256,0.125,256,38,52,20270252,627.0,1,1,0.23144853953873507
b0.1250_N256,0.125,256,38,53,20270253,412.5,1,1,0.2594760440860385
b0.1250_N256,0.125,256,38,54,20270254,299.0,1,1,0.27265087761882084
b0.1250_N256,0.125,256,38,55,20270255,193.5,1,1,0.2682531798777362
b0.1250_N256,0.125,256,38,56,20270256,461.0,1,1,0.25660907089148366
b0.1250_N256,0.125,256,38,57,20270257,259.0,1,1,0.22589305021328943
b0.1250_N256,0.125,256,38,58,20270258,483.5,1,1,0.24657664499569182
b0.1250_N256,0.125,256,38,59,20270259,195.5,1,1,0.28324911400267094
b0.1250_N256,0.125,256,38,60,20270260,293.5,1,1,0.24764276713486633
b0.1250_N256,0.125,256,38,61,20270261,437.5,1,1,0.2678203828334357
b0.1250_N256,0.125,256,38,62,20270262,440.0,1,1,0.2644805109769683
b0.1250_N256,0.125,256,38,63,20270263,1087.5,1,1,0.2780307406795716
b0.1250_N256,0.125,256,38,64,20270264,430.5,1,1,0.2828809407029923
b0.1250_N256,0.125,256,38,65,20270265,498.0,1,1,0.22067335261993007
b0.1250_N256,0.125,256,38,66,20270266,672.5,1,1,0.29185750154042917
b0.1250_N256,0.125,256,38,67,20270267,220.5,1,1,0.23501888689013178
b0.1250_N256,0.125,256,38,68,20270268,837.5,1,1,0.2659852639419051
b0.1250_N256,0.125,256,38,69,20270269,467.0,1,1,0.28577337942023806
b0.1250_N256,0.125,256,38,70,20270270,642.5,1,1,0.2575625764157987
b0.1250_N256,0.125,256,38,71,20270271,333.5,1,1,0.2229125624340985
b0.1250_N256,0.125,256,38,72,20270272,1488.5,1,1,0.2855073308925045
b0.1250_N256,0.125,256,38,73,20270273,144.5,1,1,0.18159691574334186
b0.1250_N256,0.125,256,38,74,20270274,441.0,1,1,0.2400873901470422
b0.1250_N256,0.125,256,38,75,20270275,356.5,1,1,0.26925419284785196
b0.1250_N256,0.125,256,38,76,20270276,274.5,1,1,0.2723677491635171
b0.1250_N256,0.125,256,38,77,20270277,227.5,1,1,0.2399500992408262
b0.1250_N256,0.125,256,38,78,20270278,1235.5,1,1,0.28675064969952985
b0.1250_N256,0.125,256,38,79,20270279,862.0,1,1,0.2791906779084798
b0.1250_N256,0.125,256,38,80,20270280,317.0,1,1,0.23373989020593222
b0.1250_N256,0.125,256,38,81,20270281,200.0,1,1,0.2472005789971321
b0.1250_N256,0.125,256,38,82,20270282,169.5,1,1,0.22562322089886186
b0.1250_N256,0.125,256,38,83,20270283,519.0,1,1,0.2604968977214635
b0.1250_N256,0.125,256,38,84,20270284,660.5,1,1,0.29405392964036
b0.1250_N256,0.125,256,38,85,20270285,1380.0,1,1,0.3005979577162038
b0.1250_N256,0.125,256,38,86,20270286,1127.0,1,1,0.2697977882078358
b0.1250_N256,0.125,256,38,87,20270287,534.0,1,1,0.25295001928235905
b0.1250_N256,0.125,256,38,88,20270288,451.5,1,1,0.2668549049472851
b0.1250_N256,0.125,256,38,89,20270289,1058.0,1,1,0.27957741326651697
b0.1250_N256,0.125,256,38,90,20270290,297.5,1,1,0.22753467163231766
b0.1250_N256,0.125,256,38,91,20270291,1036.0,1,1,0.31546814106238574
b0.1250_N256,0.125,256,38,92,20270292,437.5,1,1,0.25908940243136497
b0.1250_N256,0.125,256,38,93,20270293,238.5,1,1,0.22849579116267638
