beta,N,n_died,n_cens,median_tau,weibull_k,weibull_k_lo,weibull_k_hi,lrt_p,lnS_r2,lnS_runs_p,hazard_ratio_maxmin,dwell_spearman_rho,dwell_spearman_p,decision
0.11,32,272,28,3792.25,1.1275992558459023,1.019856982455241,1.241581904655294,0.01959895309291522,0.9927427781741364,9.504319904786352e-46,1.8468105620606097,0.006428682554459703,0.9159494261415482,STRUCTURED
0.11,64,300,0,992.0,1.3418992181760425,1.2299814777580749,1.4583562291844474,3.549571132072532e-10,0.9871450486137688,1.1557717948450565e-53,1.6823796572548244,0.06482491025422905,0.2630161363974888,STRUCTURED
0.11,128,300,0,732.75,1.3538827324438891,1.2403320688966342,1.4721426705653498,1.394844182142911e-10,0.9850575301335944,1.4825570250484739e-58,1.9111358046069837,0.07887883798471756,0.1729953616383939,STRUCTURED
0.115,32,295,5,2130.75,1.151855388338078,1.0527237914620136,1.2553906950683194,0.0023677797651425365,0.9979428649902664,2.6698928062911192e-27,1.4992581785384143,-0.006781808989942467,0.9076618952879105,FLAT
0.115,64,300,0,667.0,1.5185439575992266,1.3934938192664554,1.648343382176407,2.720646660300413e-18,0.973210241499861,4.486722737978748e-49,1.7259508867728772,-0.013600379799620027,0.8145246979950147,STRUCTURED
0.115,128,300,0,602.75,1.4178776385479215,1.3018867362172069,1.5381485853685057,8.488424860874943e-14,0.9846063851782151,9.678570713424066e-47,1.602232988808917,0.0747443172903308,0.1966996722851472,STRUCTURED
0.12,32,299,1,1637.75,1.1517372842216684,1.055941976470066,1.2512563668330805,0.0016781995054221566,0.9925332760573474,1.715749858907139e-50,1.716176521808315,-0.009607005286985888,0.8686066092033708,STRUCTURED
0.12,64,300,0,558.0,1.358327150520082,1.2485136674782302,1.4719876112041845,2.2505663990072155e-11,0.9971844503688547,1.8053957292651186e-46,1.4888392268208996,0.04191006673567229,0.46956251768347934,FLAT
0.12,128,300,0,519.0,1.4940101300667943,1.3738234093480366,1.618168141763709,1.05280528446502e-17,0.994975052861048,2.355470493186398e-42,2.1518309499186143,0.13908516632481874,0.01592206432785499,STRUCTURED
0.125,32,300,0,1024.75,1.2583554424815027,1.1557300026737662,1.364624603720007,3.7093137815050655e-07,0.9938767828557791,7.242115309729444e-52,1.5883770401919983,0.05578603987345072,0.33556815260494177,STRUCTURED
0.125,64,300,0,533.0,1.6365395537271175,1.5028160774520074,1.7752072246265551,3.31745270208692e-24,0.9786164465351332,2.8327787545050117e-52,2.136354121653174,-0.02195986142798666,0.704826152821053,STRUCTURED
0.125,128,300,0,451.75,1.4184496127368382,1.3045618856153252,1.5361806129693896,3.277122000101359e-14,0.9945006888715252,8.088584256423276e-44,1.4606207633446804,0.14113558007322582,0.014421345143284341,FLAT
0.13,32,300,0,872.25,1.3307363316764782,1.220275516966707,1.4456026748006923,8.590803782438672e-10,0.9938472131911363,4.943804033941291e-44,1.8167315734839409,-0.028547663484166725,0.6223685951776712,STRUCTURED
0.13,64,300,0,421.75,1.553731068984058,1.4321342137582869,1.6784938360252348,2.543778200985809e-21,0.9945295032826322,1.8514485965230748e-47,1.7592673085569428,0.05848483949132882,0.31267609463272183,STRUCTURED
0.13,128,300,0,403.5,1.6813329712211438,1.546626543920601,1.8204221369220295,4.6223745782310755e-27,0.9909574960345087,1.2352952615858624e-51,2.272031065729281,0.1024536391397152,0.07642675284837658,STRUCTURED
