condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.110_N32,0.11,32,5,0,20260609,906.5,1,70.5,0.14943959349139335,0.8177128338336187
b0.110_N32,0.11,32,5,1,20260610,4921.0,1,22.5,0.16297635372746047,0.8177645745994971
b0.110_N32,0.11,32,5,2,20260611,11778.5,1,70.5,0.16530620970465984,0.8177074669553811
b0.110_N32,0.11,32,5,3,20260612,9391.0,1,93.5,0.1671744967167475,0.8177116109337355
b0.110_N32,0.11,32,5,4,20260613,2993.0,1,100.0,0.16523784158059673,0.8177082697168144
b0.110_N32,0.11,32,5,5,20260614,3060.5,1,31.0,0.16146626216927382,0.8177379249822939
b0.110_N32,0.11,32,5,6,20260615,6752.5,1,65.5,0.16166113010586958,0.8177079547599544
b0.110_N32,0.11,32,5,7,20260616,11290.0,1,18.5,0.16378242141457588,0.8178283061688009
b0.110_N32,0.11,32,5,8,20260617,3204.0,1,43.0,0.1589835620238624,0.817710609657434
b0.110_N32,0.11,32,5,9,20260618,1820.0,1,26.5,0.16199879598736097,0.8177254382234158
b0.110_N32,0.11,32,5,10,20260619,12000.0,0,nan,0.16500950746591972,0.3861862457472331
b0.110_N32,0.11,32,5,11,20260620,3606.5,1,64.5,0.16562874941807962,0.817709232879483
b0.110_N32,0.11,32,5,12,20260621,2124.0,1,67.0,0.16026702933056886,0.8177079652880436
b0.110_N32,0.11,32,5,13,20260622,775.5,1,95.5,0.14965857401510194,0.8177095499901735
b0.110_N32,0.11,32,5,14,20260623,593.5,1,62.5,0.15988830953442418,0.8177079035454328
b0.110_N32,0.11,32,5,15,20260624,3704.0,1,22.5,0.1657909031673893,0.8179127500773943
b0.110_N32,0.11,32,5,16,20260625,4192.0,1,29.5,0.16796738547116766,0.817725040086871
b0.110_N32,0.11,32,5,17,20260626,8589.5,1,94.5,0.16630795846574264,0.8177104762657392
b0.110_N32,0.11,32,5,18,20260627,1142.5,1,41.5,0.14784871977329622,0.8177109399467984
b0.110_N32,0.11,32,5,19,20260628,386.5,1,67.0,0.1273552375991087,0.817708573200513
b0.110_N32,0.11,32,5,20,20260629,12000.0,0,nan,0.16334275058123315,0.7791666523579153
b0.110_N32,0.11,32,5,21,20260630,11633.0,1,53.5,0.1640353218738292,0.8177083756260303
b0.110_N32,0.11,32,5,22,20260631,8837.5,1,72.5,0.16212031274676889,0.8177079800197935
b0.110_N32,0.11,32,5,23,20260632,7391.0,1,67.0,0.16415783619603952,0.8177101452045428
b0.110_N32,0.11,32,5,24,20260633,2699.5,1,18.0,0.1610989836990275,0.8179217425159984
b0.110_N32,0.11,32,5,25,20260634,4344.0,1,57.0,0.1642619752534211,0.817709104519758
b0.110_N32,0.11,32,5,26,20260635,4672.0,1,14.0,0.16475801359072767,0.8178097405730365
b0.110_N32,0.11,32,5,27,20260636,1489.5,1,65.5,0.15364978671876203,0.8177098240909112
b0.110_N32,0.11,32,5,28,20260637,476.0,1,65.0,0.14012413288931344,0.8177075685271725
b0.110_N32,0.11,32,5,29,20260638,4156.0,1,48.5,0.1610878630712544,0.8177484408261422
b0.110_N32,0.11,32,5,30,20260639,3646.5,1,67.0,0.16157779833751557,0.8177080659109635
b0.110_N32,0.11,32,5,31,20260640,8189.0,1,16.5,0.16239656590587012,0.8178177641389852
b0.110_N32,0.11,32,5,32,20260641,9087.5,1,90.5,0.16241503609198357,0.8177077175586366
b0.110_N32,0.11,32,5,33,20260642,2895.0,1,36.5,0.166345110455863,0.8177135301321835
b0.110_N32,0.11,32,5,34,20260643,3332.0,1,39.0,0.16259216007273566,0.8177075455614756
b0.110_N32,0.11,32,5,35,20260644,1476.0,1,37.0,0.1517994962828654,0.8177179982534791
b0.110_N32,0.11,32,5,36,20260645,8451.5,1,64.0,0.16443983719685654,0.817709597575841
b0.110_N32,0.11,32,5,37,20260646,5701.0,1,24.0,0.16260946966139783,0.8179245499629266
b0.110_N32,0.11,32,5,38,20260647,5936.0,1,56.0,0.1617903156564853,0.8177092185354782
b0.110_N32,0.11,32,5,39,20260648,2385.0,1,64.0,0.16283474945955156,0.8177124724433851
b0.110_N32,0.11,32,5,40,20260649,12000.0,0,nan,0.16645648551209988,0.4546262258810325
b0.110_N32,0.11,32,5,41,20260650,3488.0,1,65.0,0.160136740377186,0.8177103438654892
b0.110_N32,0.11,32,5,42,20260651,6883.5,1,41.5,0.16508168468341408,0.8177078377560545
b0.110_N32,0.11,32,5,43,20260652,12000.0,0,nan,0.1656111544237412,0.5293936725741484
b0.110_N32,0.11,32,5,44,20260653,1575.0,1,102.5,0.16342277020072563,0.817709969520442
b0.110_N32,0.11,32,5,45,20260654,5760.0,1,63.0,0.1657104877541355,0.8177083144162729
b0.110_N32,0.11,32,5,46,20260655,12000.0,0,nan,0.1650947452767847,0.5072558226366128
b0.110_N32,0.11,32,5,47,20260656,4492.5,1,114.0,0.16089540262557042,0.8177108221435861
b0.110_N32,0.11,32,5,48,20260657,6949.0,1,82.5,0.16595450101490192,0.8177137092167254
b0.110_N32,0.11,32,5,49,20260658,3519.0,1,50.5,0.16351320250389664,0.8177076251675016
b0.110_N32,0.11,32,5,50,20260659,3587.0,1,67.5,0.16734237540001512,0.8177127769181657
b0.110_N32,0.11,32,5,51,20260660,330.5,1,67.5,0.13564651332594582,0.8177075117515288
b0.110_N32,0.11,32,5,52,20260661,1579.5,1,15.5,0.15533783643605859,0.8178123070363482
b0.110_N32,0.11,32,5,53,20260662,3341.0,1,65.5,0.1587589384968833,0.8177097057608438
