condition,beta,N,P,run_index,seed,tau,event,dwell_stat,rho_std_plateau,collapse_rho_mean
b0.110_N256,0.11,256,38,0,20265109,434.0,1,59.0,0.14573646531651913,0.8573594299424975
b0.110_N256,0.11,256,38,1,20265110,1439.5,1,82.0,0.16012366207031062,0.857382871362761
b0.110_N256,0.11,256,38,2,20265111,256.5,1,41.5,0.1239995159121682,0.8573244165588346
b0.110_N256,0.11,256,38,3,20265112,891.5,1,59.5,0.16818421686747653,0.8573047107703975
b0.110_N256,0.11,256,38,4,20265113,438.5,1,50.0,0.1499125638494561,0.8574873667775776
b0.110_N256,0.11,256,38,5,20265114,450.5,1,72.0,0.14403960481995473,0.8572991607177214
b0.110_N256,0.11,256,38,6,20265115,555.0,1,18.5,0.14206459995192516,0.8574204807483292
b0.110_N256,0.11,256,38,7,20265116,1197.5,1,31.5,0.15681703221371016,0.8573016610557098
b0.110_N256,0.11,256,38,8,20265117,1369.5,1,22.0,0.15452711007003853,0.8575305666643354
b0.110_N256,0.11,256,38,9,20265118,610.5,1,36.5,0.14252003831326263,0.8573093072898879
b0.110_N256,0.11,256,38,10,20265119,230.5,1,16.5,0.15364353310464993,0.8573665472522205
b0.110_N256,0.11,256,38,11,20265120,270.0,1,33.0,0.13623365970508408,0.8572171266262691
b0.110_N256,0.11,256,38,12,20265121,747.5,1,38.5,0.155836439346851,0.8573828741400804
b0.110_N256,0.11,256,38,13,20265122,498.5,1,21.5,0.16225844340274448,0.8572971484578845
b0.110_N256,0.11,256,38,14,20265123,225.5,1,51.0,0.13214108262991606,0.8573001793904622
b0.110_N256,0.11,256,38,15,20265124,2961.0,1,26.5,0.15371259945290783,0.8576424157734831
b0.110_N256,0.11,256,38,16,20265125,800.0,1,56.5,0.16184399702108856,0.8573018384980905
b0.110_N256,0.11,256,38,17,20265126,1759.5,1,79.5,0.16228288202522748,0.8572515714922757
b0.110_N256,0.11,256,38,18,20265127,495.5,1,42.5,0.14759343231407046,0.8574405122507466
b0.110_N256,0.11,256,38,19,20265128,1369.0,1,64.0,0.14761676220271241,0.8574006202905142
b0.110_N256,0.11,256,38,20,20265129,164.5,1,74.5,0.09200476453614921,0.8572991674602544
b0.110_N256,0.11,256,38,21,20265130,707.5,1,68.0,0.15805792404079244,0.8573203856852958
b0.110_N256,0.11,256,38,22,20265131,1030.0,1,52.0,0.15687978059725635,0.8573123237282237
b0.110_N256,0.11,256,38,23,20265132,314.0,1,36.0,0.1533148476581941,0.8574904393539492
b0.110_N256,0.11,256,38,24,20265133,164.5,1,103.0,0.06537677676323231,0.8575118594623972
b0.110_N256,0.11,256,38,25,20265134,853.0,1,81.5,0.14967098615099209,0.8573004749627255
b0.110_N256,0.11,256,38,26,20265135,187.0,1,23.5,0.1423259748408061,0.8573757293144472
b0.110_N256,0.11,256,38,27,20265136,1514.5,1,433.0,0.1403454926313546,0.5023820500341791
b0.110_N256,0.11,256,38,28,20265137,2055.0,1,67.0,0.1604031415683888,0.8573014128863458
b0.110_N256,0.11,256,38,29,20265138,625.0,1,49.5,0.149076757879429,0.857301012294004
b0.110_N256,0.11,256,38,30,20265139,655.5,1,37.0,0.1508409893637576,0.8574235337743462
b0.110_N256,0.11,256,38,31,20265140,758.5,1,21.0,0.1513748289626413,0.8574786815100802
b0.110_N256,0.11,256,38,32,20265141,654.5,1,74.5,0.147871890741832,0.5024007034742404
b0.110_N256,0.11,256,38,33,20265142,276.0,1,89.0,0.14481029537164958,0.8573019264618131
b0.110_N256,0.11,256,38,34,20265143,1331.5,1,49.5,0.15630112195066634,0.8575409966801467
b0.110_N256,0.11,256,38,35,20265144,629.0,1,68.5,0.12682095637186963,0.8573025577994917
b0.110_N256,0.11,256,38,36,20265145,1507.5,1,46.0,0.16045930656349214,0.8574002873503037
b0.110_N256,0.11,256,38,37,20265146,853.0,1,28.0,0.1619275735156114,0.857411723927978
b0.110_N256,0.11,256,38,38,20265147,1092.5,1,140.5,0.12964619216377163,0.5023866519998063
b0.110_N256,0.11,256,38,39,20265148,449.5,1,76.0,0.14773667215690717,0.8572992969376142
b0.110_N256,0.11,256,38,40,20265149,806.5,1,82.5,0.1512663808591657,0.8573016089683028
b0.110_N256,0.11,256,38,41,20265150,3038.5,1,63.5,0.16451055241507986,0.8573750414109693
b0.110_N256,0.11,256,38,42,20265151,266.5,1,34.5,0.1451550705063704,0.8573278181128644
b0.110_N256,0.11,256,38,43,20265152,1192.0,1,413.5,0.12196662688852447,0.5023821486659397
b0.110_N256,0.11,256,38,44,20265153,517.5,1,43.0,0.1565711490564717,0.857446241960964
b0.110_N256,0.11,256,38,45,20265154,2175.0,1,432.5,0.14631431822624522,0.5023819913443869
b0.110_N256,0.11,256,38,46,20265155,950.0,1,61.0,0.1507670334175111,0.8572999598287073
b0.110_N256,0.11,256,38,47,20265156,528.5,1,33.0,0.16096414408294082,0.8576334910142264
b0.110_N256,0.11,256,38,48,20265157,728.0,1,67.5,0.15133072291007277,0.8573033665545564
b0.110_N256,0.11,256,38,49,20265158,1490.0,1,42.5,0.16073554960422495,0.8573341115186908
b0.110_N256,0.11,256,38,50,20265159,229.5,1,74.0,0.11709878890697199,0.8573002928966732
b0.110_N256,0.11,256,38,51,20265160,238.5,1,33.0,0.13387210970037655,0.8573519351494093
b0.110_N256,0.11,256,38,52,20265161,782.0,1,20.0,0.1572884545656682,0.8573884825203838
b0.110_N256,0.11,256,38,53,20265162,4451.5,1,74.5,0.16278934062444875,0.857302702241503
b0.110_N256,0.11,256,38,54,20265163,1087.5,1,68.0,0.15337579572853433,0.8573015435993754
b0.110_N256,0.11,256,38,55,20265164,494.5,1,32.5,0.13764120551444414,0.8573719017875222
b0.110_N256,0.11,256,38,56,20265165,317.5,1,42.0,0.15691772149220234,0.8573096404203726
b0.110_N256,0.11,256,38,57,20265166,1463.0,1,40.5,0.16028909720579462,0.8573957985479109
b0.110_N256,0.11,256,38,58,20265167,240.5,1,66.0,0.1185802833198238,0.8572998668707152
b0.110_N256,0.11,256,38,59,20265168,336.0,1,34.0,0.1437769821842474,0.8572708474617319
b0.110_N256,0.11,256,38,60,20265169,663.5,1,180.5,0.13908233020644434,0.8575654919267104
b0.110_N256,0.11,256,38,61,20265170,2136.0,1,45.0,0.16417171249632054,0.8575316005519157
b0.110_N256,0.11,256,38,62,20265171,532.0,1,73.5,0.1407127043118177,0.8573029086357046
b0.110_N256,0.11,256,38,63,20265172,311.0,1,53.0,0.12551735163744931,0.8573366266780007
b0.110_N256,0.11,256,38,64,20265173,1187.5,1,75.0,0.15214492341647506,0.8573782521934817
b0.110_N256,0.11,256,38,65,20265174,629.0,1,28.5,0.13568688559556358,0.8575673201665656
b0.110_N256,0.11,256,38,66,20265175,205.0,1,69.0,0.12492980653907292,0.8576165270493252
b0.110_N256,0.11,256,38,67,20265176,1176.5,1,31.0,0.15995881077177593,0.8573236112081691
b0.110_N256,0.11,256,38,68,20265177,210.0,1,50.0,0.12575734054418927,0.8574333119274186
b0.110_N256,0.11,256,38,69,20265178,3027.0,1,79.0,0.1660438042745026,0.8572984501613568
b0.110_N256,0.11,256,38,70,20265179,1566.5,1,57.5,0.15183381411515368,0.8573902595536698
b0.110_N256,0.11,256,38,71,20265180,2261.0,1,28.5,0.16119182756603234,0.8573566773532266
b0.110_N256,0.11,256,38,72,20265181,497.0,1,64.0,0.1413694421840854,0.857300492374956
b0.110_N256,0.11,256,38,73,20265182,3226.5,1,62.5,0.15724551064083514,0.8573022541794213
b0.110_N256,0.11,256,38,74,20265183,356.5,1,18.5,0.15189905977359897,0.8573331857838212
b0.110_N256,0.11,256,38,75,20265184,1556.5,1,432.0,0.12635891094593296,0.5023820443116541
b0.110_N256,0.11,256,38,76,20265185,248.5,1,26.5,0.15310424358076832,0.857555820796886
b0.110_N256,0.11,256,38,77,20265186,4800.0,1,58.5,0.15971660634314977,0.8573283131644726
b0.110_N256,0.11,256,38,78,20265187,2092.5,1,69.0,0.15798121586825234,0.8573040959836625
b0.110_N256,0.11,256,38,79,20265188,432.0,1,70.0,0.12845891522525912,0.8573040976981068
