beta,N,k_hat,CI_lo,CI_hi,sigma,weibull_lambda,n_cens
0.11,32,1.1275992558459023,1.019856982455241,1.241581904655294,0.0565635195210195,5685.559831821512,28
0.11,64,1.3418992181760425,1.2299814777580749,1.4583562291844474,0.05825993569977904,1401.282023012681,0
0.11,128,1.3538827324438891,1.2403320688966342,1.4721426705653498,0.05913644421458967,1060.2669727789491,0
0.115,32,1.151855388338078,1.0527237914620136,1.2553906950683194,0.05170169074659445,3192.0620237725366,5
0.115,64,1.5185439575992266,1.3934938192664554,1.648343382176407,0.06501383824401175,979.3224681907628,0
0.115,128,1.4178776385479215,1.3018867362172069,1.5381485853685057,0.060271987397447664,882.2628526676978,0
0.12,32,1.1517372842216684,1.055941976470066,1.2512563668330805,0.04982601514712249,2406.1727496793,1
0.12,64,1.358327150520082,1.2485136674782302,1.4719876112041845,0.05700970668050236,840.2735036776274,0
0.12,128,1.4940101300667943,1.3738234093480366,1.618168141763709,0.0623339853035649,743.7080938364682,0
0.125,32,1.2583554424815027,1.1557300026737662,1.364624603720007,0.05329041826634945,1561.468965294996,0
0.125,64,1.6365395537271175,1.5028160774520074,1.7752072246265551,0.06948881441779908,722.2672088859989,0
0.125,128,1.4184496127368382,1.3045618856153252,1.5361806129693896,0.059087495785903055,674.3315322766343,0
0.13,32,1.3307363316764782,1.220275516966707,1.4456026748006923,0.05748247406874237,1266.7639371455396,0
0.13,64,1.553731068984058,1.4321342137582869,1.6784938360252348,0.06284799726173573,574.6359672324321,0
0.13,128,1.6813329712211438,1.546626543920601,1.8204221369220295,0.0698470979979972,551.8321392705094,0
