beta,N,k_hat,k_lo,k_hi,median_tau,n_cens
0.11,32,1.1275992558459023,1.019856982455241,1.241581904655294,3792.25,28
0.11,64,1.3418992181760425,1.2299814777580749,1.4583562291844474,992.0,0
0.11,128,1.3538827324438891,1.2403320688966342,1.4721426705653498,732.75,0
0.11,256,1.2201092814437966,1.1199434537933297,1.3241080944288175,643.0,0
0.115,32,1.151855388338078,1.0527237914620136,1.2553906950683194,2130.75,5
0.115,64,1.5185439575992266,1.3934938192664554,1.648343382176407,667.0,0
0.115,128,1.4178776385479215,1.3018867362172069,1.5381485853685057,602.75,0
0.115,256,1.3709111420045705,1.2610254932782041,1.4842713074648015,575.0,0
0.12,32,1.1517372842216684,1.055941976470066,1.2512563668330805,1637.75,1
0.12,64,1.358327150520082,1.2485136674782302,1.4719876112041845,558.0,0
0.12,128,1.4940101300667943,1.3738234093480366,1.618168141763709,519.0,0
0.12,256,1.5251366069494745,1.399102865055369,1.6561611090486386,572.75,0
0.125,32,1.2583554424815027,1.1557300026737662,1.364624603720007,1024.75,0
0.125,64,1.6365395537271175,1.5028160774520074,1.7752072246265551,533.0,0
0.125,128,1.4184496127368382,1.3045618856153252,1.5361806129693896,451.75,0
0.125,256,1.6047684723478615,1.4754191470074525,1.7385387347976748,444.0,0
0.13,32,1.3307363316764782,1.220275516966707,1.4456026748006923,872.25,0
0.13,64,1.553731068984058,1.4321342137582869,1.6784938360252348,421.75,0
0.13,128,1.6813329712211438,1.546626543920601,1.8204221369220295,403.5,0
0.13,256,1.4658460981969075,1.3506925911148857,1.5844547323888207,345.0,0
