binning_var,N,bin,x_mean,edge_lo,edge_hi,n,n_events,censor_frac,k,k_lo,k_hi,ci_excludes_1,cv_tau,median_tau,lrt_p
absdphi0,4,0,0.3430,0.0020,0.6937,50,50,0.000,2.561,2.069,3.092,1,0.414,140.35,9.70e-13
absdphi0,4,1,1.2308,0.6937,1.6467,50,50,0.000,2.650,2.138,3.207,1,0.400,121.35,2.62e-13
absdphi0,4,2,2.0174,1.6467,2.3189,50,50,0.000,1.877,1.495,2.302,1,0.555,121.35,8.63e-07
absdphi0,4,3,2.7562,2.3189,3.1295,50,50,0.000,2.258,1.771,2.809,1,0.459,149.95,5.01e-09
absdphi0,8,0,0.3350,0.0097,0.7041,50,50,0.000,2.465,2.006,2.954,1,0.424,180.05,1.89e-12
absdphi0,8,1,1.0815,0.7041,1.4507,50,50,0.000,2.688,2.175,3.242,1,0.392,143.25,9.09e-14
absdphi0,8,2,1.9683,1.4507,2.3708,50,50,0.000,2.535,2.054,3.049,1,0.414,127.65,1.16e-12
absdphi0,8,3,2.7723,2.3708,3.1240,50,50,0.000,2.286,1.814,2.809,1,0.457,112.20,9.98e-10
absdphi0,16,0,0.4497,0.0457,0.9348,50,50,0.000,3.100,2.511,3.739,1,0.335,177.10,1.21e-16
absdphi0,16,1,1.3422,0.9348,1.7045,50,50,0.000,2.910,2.344,3.530,1,0.365,114.50,4.47e-15
absdphi0,16,2,2.0285,1.7045,2.2716,50,50,0.000,3.245,2.587,3.980,1,0.340,113.05,1.68e-16
absdphi0,16,3,2.7753,2.2716,3.1331,50,50,0.000,2.610,2.091,3.183,1,0.415,126.45,1.17e-12
absdphi0,24,0,0.3949,0.0095,0.7788,50,50,0.000,4.373,3.564,5.232,1,0.224,170.05,4.82e-24
absdphi0,24,1,1.1903,0.7788,1.6329,50,50,0.000,3.365,2.711,4.081,1,0.315,126.30,7.11e-18
absdphi0,24,2,2.1286,1.6329,2.5372,50,50,0.000,2.642,2.130,3.200,1,0.403,93.95,3.15e-13
absdphi0,24,3,2.8383,2.5372,3.1356,50,50,0.000,2.229,1.796,2.696,1,0.471,104.45,5.36e-10
absdphi0,32,0,0.4234,0.0083,0.8127,50,50,0.000,3.363,2.720,4.059,1,0.309,182.00,3.73e-18
absdphi0,32,1,1.2542,0.8127,1.6791,50,50,0.000,3.773,3.044,4.568,1,0.278,128.95,2.67e-20
absdphi0,32,2,2.1121,1.6791,2.4537,50,50,0.000,2.812,2.248,3.437,1,0.388,101.60,5.87e-14
absdphi0,32,3,2.7376,2.4537,3.1275,50,50,0.000,2.689,2.140,3.300,1,0.402,103.95,9.25e-13
absdphi0,48,0,0.3594,0.0085,0.7261,50,50,0.000,3.948,3.155,4.831,1,0.279,179.45,1.31e-20
absdphi0,48,1,1.2939,0.7261,1.6713,50,50,0.000,3.780,3.046,4.589,1,0.277,126.50,2.30e-20
absdphi0,48,2,2.0108,1.6713,2.3932,50,50,0.000,3.496,2.816,4.238,1,0.303,115.10,1.19e-18
absdphi0,48,3,2.7669,2.3932,3.1410,50,50,0.000,2.380,1.898,2.914,1,0.451,95.95,1.05e-10
absdphi0,64,0,0.3577,0.0216,0.7339,50,50,0.000,5.115,4.082,6.272,1,0.216,165.10,6.67e-26
absdphi0,64,1,1.1623,0.7339,1.6505,50,50,0.000,3.835,3.091,4.652,1,0.273,128.65,1.12e-20
absdphi0,64,2,2.0579,1.6505,2.4941,50,50,0.000,3.783,3.049,4.587,1,0.277,109.35,2.30e-20
absdphi0,64,3,2.7981,2.4941,3.1360,50,50,0.000,2.189,1.777,2.625,1,0.471,97.20,5.71e-10
t_capture,4,0,3.6306,-0.0000,6.8000,49,49,0.000,2.233,1.774,2.741,1,0.475,120.80,2.26e-09
t_capture,4,1,9.2800,6.8000,12.2000,50,50,0.000,2.005,1.580,2.481,1,0.500,144.05,2.33e-07
t_capture,4,2,28.7745,12.2000,57.9000,51,51,0.000,2.379,1.915,2.892,1,0.455,119.30,2.40e-11
t_capture,4,3,112.5740,57.9000,256.8000,50,50,0.000,2.643,2.137,3.186,1,0.398,141.65,2.36e-13
t_capture,8,0,7.4240,2.9000,9.5500,50,50,0.000,2.418,1.909,2.991,1,0.437,107.00,2.02e-10
