k,mean,sd,n,N,view
1,0.7896972857142857,0.16003433488772223,100,8,forward
2,0.8410124007936508,0.1563156004338795,96,8,forward
3,0.8609920826161792,0.13530011599737782,83,8,forward
4,0.8933307482993197,0.12808154718804585,70,8,forward
5,0.9107846213895394,0.1152066182426978,61,8,forward
6,0.9112761904761905,0.1039177586950398,48,8,forward
7,0.8972961538461538,0.09853066942924664,26,8,forward
8,0.9051912698412699,0.09198794252125865,18,8,forward
9,0.9383666666666668,0.057019279072442176,16,8,forward
10,0.9465402597402597,0.05894452433852488,11,8,forward
11,0.966905291005291,0.033485845779954324,9,8,forward
12,0.9583303571428572,0.024657484821898258,8,8,forward
-1,0.9364340476190476,0.06007053200071709,100,8,backward
-2,0.9593822916666666,0.04757850293334948,96,8,backward
-3,0.9369908777969019,0.06487944074874856,83,8,backward
-4,0.8947186394557823,0.0858892664274459,70,8,backward
-5,0.8607161592505854,0.11341126415705452,61,8,backward
-6,0.8078306547619047,0.131912203429848,48,8,backward
-7,0.8154234432234431,0.11831692154792152,26,8,backward
-8,0.756016402116402,0.1420564915446502,18,8,backward
1,0.7716335714285714,0.14317556173929538,100,16,forward
2,0.8363571924603175,0.15296060601500874,96,16,forward
3,0.8565871493803001,0.15718639933605544,73,16,forward
4,0.8618654986522911,0.15952991308619222,53,16,forward
5,0.8746992857142857,0.1586113394154475,40,16,forward
6,0.8959906249999999,0.16337541639875852,32,16,forward
7,0.8508100840336136,0.17693558395599213,17,16,forward
8,0.8386638888888887,0.17441511425869363,12,16,forward
9,0.7813650793650792,0.18103098121659125,6,16,forward
10,0.7855666666666667,0.18435587328824923,5,16,forward
11,0.7922916666666665,0.17526062882964516,4,16,forward
12,0.8102603174603176,0.140247798543224,3,16,forward
-1,0.9560935714285713,0.04729223052315704,100,16,backward
-2,0.9246578869047619,0.06249566895728826,96,16,backward
-3,0.87808871493803,0.09190784158664826,73,16,backward
-4,0.8329497753818508,0.10672530533747525,53,16,backward
-5,0.778682738095238,0.11587786274851745,40,16,backward
-6,0.7213331845238096,0.10735804274319322,32,16,backward
-7,0.6858375350140055,0.11720005418477289,17,16,backward
-8,0.6089043650793651,0.10059148030499324,12,16,backward
1,0.7572282347282349,0.14343950371012396,99,32,forward
2,0.8136401204159824,0.15095720429887646,87,32,forward
3,0.8343658352229781,0.14995255920977582,63,32,forward
4,0.8466104097452934,0.14132001521135215,43,32,forward
5,0.8682271428571429,0.13568329956032246,30,32,forward
6,0.8579806349206349,0.14835748603297216,15,32,forward
7,0.8742495238095239,0.15557971706104934,10,32,forward
8,0.8754373015873017,0.17750433204554683,6,32,forward
9,0.8258793650793651,0.20894754261085277,3,32,forward
10,0.8154857142857144,0.24750757646618288,2,32,forward
11,0.7042761904761905,0.0,1,32,forward
12,0.7770285714285715,0.0,1,32,forward
-1,0.9652859547859549,0.028502587688074007,99,32,backward
-2,0.8864927203065135,0.05470553733328382,87,32,backward
-3,0.8005628117913831,0.0694182107357638,63,32,backward
-4,0.7275295681063122,0.07328047140265175,43,32,backward
-5,0.6491885714285714,0.058071547628687596,30,32,backward
-6,0.5873549206349206,0.03540651482545391,15,32,backward
-7,0.5430195238095237,0.024194042820225376,10,32,backward
-8,0.5038039682539682,0.020892811513539458,6,32,backward
1,0.7315111428571428,0.10421301420306558,100,64,forward
2,0.8121720176730487,0.1068302353114934,97,64,forward
3,0.8721630357142857,0.09516662347797769,80,64,forward
4,0.9069391865079365,0.07286015943083013,48,64,forward
5,0.9376438095238093,0.06540081112064357,20,64,forward
6,0.9438761904761904,0.07175535262533025,6,64,forward
7,0.9221833333333334,0.03343941639982662,2,64,forward
8,0.9839571428571426,0.0,1,64,forward
-1,0.9633078095238095,0.025311292390753352,100,64,backward
-2,0.8666936180657832,0.03607443131384929,97,64,backward
-3,0.7692011904761904,0.03890929138242916,80,64,backward
-4,0.6832367063492063,0.03458671125329072,48,64,backward
-5,0.6255273809523809,0.03323097222348824,20,64,backward
-6,0.5942007936507936,0.03148548460387323,6,64,backward
-7,0.5769809523809524,0.026519871469643977,2,64,backward
-8,0.5211476190476192,0.0,1,64,backward
