baseline,label,paradigm,estimator,calibration,substrate,param,stratum,n,coverage,coverage_lo,coverage_hi,coverage_gap,coverage_gap_lo,coverage_gap_hi,ece,ece_lo,ece_hi,mean_width,mean_pinball,mean_interval_score,alpha,nominal,n_boot,provisional,ruler,substrate_seed,task_version
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,D,all,3000,0.869,0.856667,0.880333,-0.031,-0.0433333,-0.0196667,0.0485897,0.0425122,0.0548462,0.92166,0.0475989,1.19159,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,D,dstar_low,1000,0.864,0.841898,0.884616,-0.036,,,,,,1.18297,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,D,dstar_mid,1000,0.857,0.834533,0.878004,-0.043,,,,,,0.844032,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,D,dstar_high,1000,0.886,0.866596,0.905826,-0.014,,,,,,0.73798,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,f,all,3000,0.877,0.865658,0.888667,-0.023,-0.0343417,-0.0113333,0.0469231,0.0407949,0.0533109,0.263172,0.013249,0.343105,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,f,dstar_low,1000,0.857,0.83526,0.877147,-0.043,,,,,,0.307973,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,f,dstar_mid,1000,0.879,0.857431,0.899421,-0.021,,,,,,0.233532,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,f,dstar_high,1000,0.895,0.876288,0.913387,-0.005,,,,,,0.248013,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,Dstar,all,3000,0.811,0.797,0.824333,-0.089,-0.103,-0.0756667,0.0642821,0.0567942,0.0720776,105.387,6.29763,186.5,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,Dstar,dstar_low,1000,0.813,0.789631,0.835626,-0.087,,,,,,55.5612,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,Dstar,dstar_mid,1000,0.813,0.790371,0.836117,-0.087,,,,,,96.2376,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_gaussian,NLLS + Gaussian +/- z*sigma,parametric,nlls,raw,lattice,Dstar,dstar_high,1000,0.807,0.782057,0.832847,-0.093,,,,,,164.361,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,D,all,3000,0.900667,0.889667,0.911342,0.000666667,-0.0103333,0.0113417,0.065359,0.0599449,0.0707962,1.07036,0.0681384,2.42739,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,D,dstar_low,1000,0.849,0.826085,0.871774,-0.051,,,,,,1.07036,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,D,dstar_mid,1000,0.911,0.892675,0.928504,0.011,,,,,,1.07036,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,D,dstar_high,1000,0.942,0.927521,0.957045,0.042,,,,,,1.07036,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,f,all,3000,0.892333,0.881667,0.903667,-0.00766667,-0.0183333,0.00366667,0.0593333,0.0535891,0.0650263,0.244833,0.0182859,0.657877,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,f,dstar_low,1000,0.842,0.819021,0.863827,-0.058,,,,,,0.244833,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,f,dstar_mid,1000,0.907,0.889667,0.924523,0.007,,,,,,0.244833,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,f,dstar_high,1000,0.928,0.911649,0.945208,0.028,,,,,,0.244833,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,Dstar,all,3000,0.905333,0.894333,0.916,0.00533333,-0.00566667,0.016,0.0114872,0.00981923,0.0153596,123.572,7.19642,237.84,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,Dstar,dstar_low,1000,0.976,0.966497,0.984911,0.076,,,,,,123.572,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,Dstar,dstar_mid,1000,0.942,0.928026,0.956132,0.042,,,,,,123.572,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
nlls_split_conformal,NLLS point + split-conformal,conformal,nlls,split,lattice,Dstar,dstar_high,1000,0.798,0.773041,0.823139,-0.102,,,,,,123.572,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,D,all,3000,0.587,0.568333,0.606667,-0.313,-0.331667,-0.293333,0.125154,0.117255,0.132719,0.361868,0.0932543,3.32757,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,D,dstar_low,1000,0.521,0.490135,0.551531,-0.379,,,,,,0.361868,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,D,dstar_mid,1000,0.606,0.574775,0.639641,-0.294,,,,,,0.361868,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,D,dstar_high,1000,0.634,0.604454,0.663299,-0.266,,,,,,0.361868,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,f,all,3000,0.432,0.414992,0.45,-0.468,-0.485008,-0.45,0.194282,0.187355,0.201592,0.0723736,0.0276339,1.01135,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,f,dstar_low,1000,0.396,0.364361,0.425558,-0.504,,,,,,0.0723736,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,f,dstar_mid,1000,0.45,0.420629,0.481961,-0.45,,,,,,0.0723736,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,f,dstar_high,1000,0.45,0.419166,0.481562,-0.45,,,,,,0.0723736,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,Dstar,all,3000,0.251333,0.236658,0.268,-0.648667,-0.663342,-0.632,0.269667,0.262562,0.275769,19.7382,17.2274,661.053,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,Dstar,dstar_low,1000,0.535,0.505671,0.564702,-0.365,,,,,,19.7382,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,Dstar,dstar_mid,1000,0.141,0.119597,0.163022,-0.759,,,,,,19.7382,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_segmented,Segmented reference (raw),segmented,reference,raw,lattice,Dstar,dstar_high,1000,0.078,0.0620751,0.0955816,-0.822,,,,,,19.7382,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,D,all,3000,0.901,0.890333,0.912,0.001,-0.00966667,0.012,0.0297436,0.0234865,0.0354359,1.38451,0.0721645,2.22933,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,D,dstar_low,1000,0.886,0.864407,0.906451,-0.014,,,,,,1.38451,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,D,dstar_mid,1000,0.902,0.88424,0.920842,0.002,,,,,,1.38451,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,D,dstar_high,1000,0.915,0.896582,0.932542,0.015,,,,,,1.38451,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,f,all,3000,0.901333,0.890667,0.912333,0.00133333,-0.00933333,0.0123333,0.0228462,0.0168192,0.0287186,0.371681,0.0187509,0.532536,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,f,dstar_low,1000,0.892,0.872437,0.911212,-0.008,,,,,,0.371681,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,f,dstar_mid,1000,0.895,0.876914,0.912456,-0.005,,,,,,0.371681,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,f,dstar_high,1000,0.917,0.898641,0.933335,0.017,,,,,,0.371681,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,Dstar,all,3000,0.893333,0.882325,0.904,-0.00666667,-0.017675,0.004,0.0264615,0.0239481,0.0293077,183.659,9.42007,234.046,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,Dstar,dstar_low,1000,0.914,0.896234,0.929539,0.014,,,,,,183.659,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,Dstar,dstar_mid,1000,0.877,0.854783,0.896282,-0.023,,,,,,183.659,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_cqr,Segmented reference + CQR,conformal,reference,CQR,lattice,Dstar,dstar_high,1000,0.889,0.870272,0.908268,-0.011,,,,,,183.659,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,D,all,3000,0.904667,0.894325,0.915667,0.00466667,-0.005675,0.0156667,0.0288205,0.0228429,0.0344103,1.40876,0.0720155,2.22231,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,D,dstar_low,1000,0.896,0.876965,0.91562,-0.004,,,,,,1.49639,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,D,dstar_mid,1000,0.907,0.890115,0.92523,0.007,,,,,,1.45344,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,D,dstar_high,1000,0.911,0.89324,0.928929,0.011,,,,,,1.27643,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,f,all,3000,0.902667,0.892333,0.913333,0.00266667,-0.00766667,0.0133333,0.0228205,0.0165103,0.0285647,0.37749,0.0187409,0.531802,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,f,dstar_low,1000,0.904,0.886005,0.923456,0.004,,,,,,0.395191,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,f,dstar_mid,1000,0.913,0.895269,0.929566,0.013,,,,,,0.407781,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,f,dstar_high,1000,0.891,0.870711,0.910152,-0.009,,,,,,0.3295,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,Dstar,all,3000,0.897333,0.886333,0.907667,-0.00266667,-0.0136667,0.00766667,0.0315641,0.0290769,0.034284,171.805,8.97224,234.587,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,Dstar,dstar_low,1000,0.875,0.853993,0.894688,-0.025,,,,,,121.4,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,Dstar,dstar_mid,1000,0.911,0.892479,0.927445,0.011,,,,,,206.022,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
reference_mondrian_cqr,Segmented reference + Mondrian CQR (D* terciles),mondrian,reference,Mondrian,lattice,Dstar,dstar_high,1000,0.906,0.888192,0.923312,0.006,,,,,,187.992,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,D,all,3000,0.885667,0.873667,0.897,-0.0143333,-0.0263333,-0.003,0.0122051,0.00925641,0.017334,0.523474,0.0294178,0.761315,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,D,dstar_low,1000,0.885,0.864438,0.904291,-0.015,,,,,,0.64511,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,D,dstar_mid,1000,0.898,0.878667,0.915579,-0.002,,,,,,0.508673,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,D,dstar_high,1000,0.874,0.853342,0.894637,-0.026,,,,,,0.416639,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,f,all,3000,0.866667,0.854333,0.878667,-0.0333333,-0.0456667,-0.0213333,0.016641,0.0118462,0.0223083,0.0976693,0.0057342,0.146892,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,f,dstar_low,1000,0.851,0.827956,0.872927,-0.049,,,,,,0.135922,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,f,dstar_mid,1000,0.893,0.874991,0.912426,-0.007,,,,,,0.0860309,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,f,dstar_high,1000,0.856,0.833656,0.87707,-0.044,,,,,,0.0710551,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,Dstar,all,3000,0.862333,0.849992,0.874667,-0.0376667,-0.0500083,-0.0253333,0.0221026,0.0161026,0.0290071,52.6112,2.83819,72.0892,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,Dstar,dstar_low,1000,0.813,0.789738,0.835444,-0.087,,,,,,42.0731,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
maf_raw,MAF posterior quantiles (raw),flow,maf,raw,lattice,Dstar,dstar_mid,1000,0.887,0.867461,0.907049,-0.013,,,,,,54.4201,,,0.1,0.9,1000,true,Fashion calibration ruler v0.1.0 @ f078802,20260619,v2
