parameter,snr,D_true,Dstar_true,f_true,crlb_unbiased_sd,bayes_floor_sd,npe_claimed_sd,npe_achieved_sd,claimed_below_unbiased,claimed_below_bayes
D,10.0,0.6,10.0,0.02,0.37666575324114154,0.22148774003444455,0.15904923,0.09487263,1,1
Dstar,10.0,0.6,10.0,0.02,201.08292076730507,9.987657163066425,32.23814,5.303273,1,0
f,10.0,0.6,10.0,0.02,0.2598440625457547,0.12112206324898211,0.07524492,0.024001677,1,1
D,10.0,0.6,10.0,0.08142857142857143,0.4018549093676878,0.24443226899228157,0.21327022,0.087294824,1,1
Dstar,10.0,0.6,10.0,0.08142857142857143,49.38878755688197,9.801113860361378,32.795925,5.2963095,1,0
f,10.0,0.6,10.0,0.08142857142857143,0.2598440625457549,0.1289428452665877,0.100356795,0.03273739,1,1
D,10.0,0.6,10.0,0.14285714285714285,0.43065451120570486,0.278309173349113,0.23677488,0.12471539,1,1
Dstar,10.0,0.6,10.0,0.14285714285714285,28.151608907422716,9.423146102173652,34.669773,4.796759,0,0
f,10.0,0.6,10.0,0.14285714285714285,0.2598440625457546,0.14309366623808223,0.10928289,0.030461608,1,1
D,10.0,0.6,10.0,0.20428571428571426,0.46390073020363226,0.3209540593474594,0.26285928,0.17060368,1,1
Dstar,10.0,0.6,10.0,0.20428571428571426,19.686439795400506,8.915690206114535,34.461735,7.48214,0,0
f,10.0,0.6,10.0,0.20428571428571426,0.25984406254575476,0.15939294432590964,0.11327964,0.02991969,1,1
D,10.0,0.6,10.0,0.26571428571428574,0.5027095461545203,0.37059324844087743,0.3149672,0.21707207,1,1
Dstar,10.0,0.6,10.0,0.26571428571428574,15.135273606141265,8.343376402857533,32.684475,5.7786617,0,0
f,10.0,0.6,10.0,0.26571428571428574,0.2598440625457551,0.17504049195793808,0.12213084,0.023028389,1,1
D,10.0,0.6,10.0,0.3271428571428572,0.5486044728735103,0.4268256209458376,0.35621643,0.22394197,1,1
Dstar,10.0,0.6,10.0,0.3271428571428572,12.293278998874557,7.757521989177014,34.88781,6.523984,0,0
f,10.0,0.6,10.0,0.3271428571428572,0.259844062545755,0.1887765228082607,0.12333104,0.030703707,1,1
D,10.0,0.6,10.0,0.38857142857142857,0.6037212773911772,0.4907640796052453,0.37762165,0.24855046,1,1
Dstar,10.0,0.6,10.0,0.38857142857142857,10.349856215964255,7.191571408262932,34.2954,5.2136817,0,0
f,10.0,0.6,10.0,0.38857142857142857,0.2598440625457554,0.20029688838311582,0.1199102,0.023243776,1,1
D,10.0,0.6,10.0,0.45,0.671149887593306,0.5650327365018035,0.4143244,0.24938409,1,1
Dstar,10.0,0.6,10.0,0.45,8.937018700769105,6.663661585191783,32.7375,7.1728306,0,0
f,10.0,0.6,10.0,0.45,0.25984406254575443,0.20974722851023067,0.11734,0.0323999,1,1
D,10.0,0.6,25.71428571428572,0.02,0.22978623164451306,0.17695815713772778,0.17310944,0.10713214,1,0
Dstar,10.0,0.6,25.71428571428572,0.02,494.81478953441876,25.679633619436196,35.2293,5.0808573,1,0
f,10.0,0.6,25.71428571428572,0.02,0.12871929565412932,0.08277418178612429,0.08040371,0.026953656,1,0
D,10.0,0.6,25.71428571428572,0.08142857142857143,0.24515296253209304,0.19138232979269168,0.22138384,0.1323248,0,0
Dstar,10.0,0.6,25.71428571428572,0.08142857142857143,121.53345707862907,25.15734225616491,35.009182,6.0717845,1,0
f,10.0,0.6,25.71428571428572,0.08142857142857143,0.12871929565412923,0.08510471400896781,0.097086154,0.032977253,1,0
D,10.0,0.6,25.71428571428572,0.14285714285714285,0.2627222581802264,0.21040235310184408,0.2757205,0.13202775,0,0
Dstar,10.0,0.6,25.71428571428572,0.14285714285714285,69.2740705348186,24.10704760885822,35.7593,5.549964,1,0
f,10.0,0.6,25.71428571428572,0.14285714285714285,0.12871929565412926,0.08947204883015315,0.11301134,0.024524955,1,0
D,10.0,0.6,25.71428571428572,0.20428571428571426,0.2830042278422546,0.23365447801421127,0.34657413,0.20184678,0,0
Dstar,10.0,0.6,25.71428571428572,0.20428571428571426,48.44340596840461,22.712821104994045,34.37766,7.614978,1,0
f,10.0,0.6,25.71428571428572,0.20428571428571426,0.12871929565412923,0.09469493328619014,0.11951828,0.029111495,0,0
D,10.0,0.6,25.71428571428572,0.26571428571428574,0.30667967880960306,0.2608894995613807,0.38350344,0.22823948,0,0
Dstar,10.0,0.6,25.71428571428572,0.26571428571428574,37.24412394345089,21.160709439808898,34.49774,6.9188414,0,0
f,10.0,0.6,25.71428571428572,0.26571428571428574,0.12871929565412932,0.09985266024447403,0.12281542,0.029165233,0,0
D,10.0,0.6,25.71428571428572,0.3271428571428572,0.3346780358983778,0.292363302679865,0.45732212,0.2605963,0,0
Dstar,10.0,0.6,25.71428571428572,0.3271428571428572,30.25068582306489,19.592340901437943,33.936108,6.852281,0,0
f,10.0,0.6,25.71428571428572,0.3271428571428572,0.1287192956541293,0.10446229743173416,0.12944059,0.04051256,0,0
D,10.0,0.6,25.71428571428572,0.38857142857142857,0.3683022310937753,0.3289944979560359,0.53857917,0.3679143,0,0
Dstar,10.0,0.6,25.71428571428572,0.38857142857142857,25.46840828485978,18.095188598975103,38.336853,9.489707,0,0
f,10.0,0.6,25.71428571428572,0.38857142857142857,0.12871929565412923,0.10836879220276745,0.12993361,0.04290192,0,0
D,10.0,0.6,25.71428571428572,0.45,0.4094372854756775,0.37248084345875293,0.60070217,0.36177686,0,0
Dstar,10.0,0.6,25.71428571428572,0.45,21.99176842375193,16.71313721018966,37.72388,9.829228,0,0
f,10.0,0.6,25.71428571428572,0.45,0.1287192956541292,0.11159150565411945,0.1321119,0.048112277,0,0
D,10.0,0.6,41.42857142857143,0.02,0.20330873030755883,0.16821478746803784,0.16874169,0.10370912,1,0
Dstar,10.0,0.6,41.42857142857143,0.02,1086.6289979874246,41.39849445373191,35.33975,5.2033997,1,1
f,10.0,0.6,41.42857142857143,0.02,0.10586147418207598,0.0752453975343337,0.07619907,0.029369017,1,0
D,10.0,0.6,41.42857142857143,0.08142857142857143,0.2169048040295261,0.18037579568885817,0.23013401,0.12080217,0,0
Dstar,10.0,0.6,41.42857142857143,0.08142857142857143,266.8913328390164,40.93829841628455,36.684887,4.4117684,1,1
f,10.0,0.6,41.42857142857143,0.08142857142857143,0.10586147418207593,0.07605563124998949,0.09738549,0.027996846,0,0
D,10.0,0.6,41.42857142857143,0.14285714285714285,0.2324496483183088,0.19530179051616497,0.29471618,0.15255688,0,0
Dstar,10.0,0.6,41.42857142857143,0.14285714285714285,152.1280597182394,39.97284609969174,36.185093,7.0235076,1,0
f,10.0,0.6,41.42857142857143,0.14285714285714285,0.10586147418207593,0.0776993419126868,0.11271557,0.026799755,0,0
D,10.0,0.6,41.42857142857143,0.20428571428571426,0.2503945942387528,0.21330719172670792,0.3748369,0.172005,0,0
Dstar,10.0,0.6,41.42857142857143,0.20428571428571426,106.38325854422335,38.604593404776466,34.300888,6.251618,1,1
f,10.0,0.6,41.42857142857143,0.20428571428571426,0.10586147418207595,0.0799063687107016,0.1239303,0.02694137,0,0
D,10.0,0.6,41.42857142857143,0.26571428571428574,0.2713420019279871,0.23477100107803844,0.42376894,0.22479522,0,0
Dstar,10.0,0.6,41.42857142857143,0.26571428571428574,81.78927941840826,36.95783174742443,36.922344,8.007515,1,0
f,10.0,0.6,41.42857142857143,0.26571428571428574,0.10586147418207595,0.08238693818918932,0.12797476,0.027129514,0,0
D,10.0,0.6,41.42857142857143,0.3271428571428572,0.29611420167937436,0.26027114390786327,0.5154302,0.3089643,0,0
Dstar,10.0,0.6,41.42857142857143,0.3271428571428572,66.4314671258687,35.153006055936416,35.34422,8.516148,1,0
f,10.0,0.6,41.42857142857143,0.3271428571428572,0.10586147418207595,0.08490391366493633,0.13323419,0.035222545,0,0
