accession,best_query,best_bits,max_fident,nearest_query,seqid_nearest,cov_nearest,low_coverage,triad_found,pocket_ok,composite,above_threshold,mean_plddt,catalytic_ser,his,acid
MGYP001151346084,8B4U,722.0,17.2,4EB0,24.53,0.527,False,True,True,4.7189,True,,51,115,56
MGYP002749928903,8B4U,413.0,11.3,4EB0,36.84,0.074,True,True,True,4.6847,True,,295,134,133
MGYP000991476561,8B4U,689.0,16.2,8B4U,22.71,0.881,False,True,True,4.6435,True,,84,159,106
MGYP001144797622,8B4U,726.0,17.8,8B4U,21.79,0.851,False,True,True,4.4795,True,,27,31,34
MGYP000431938131,8B4U,407.0,11.3,8B4U,44.44,0.067,True,True,True,3.0466,True,,60,71,112
MGYP000502666186,8B4U,470.0,11.5,6EQE,45.0,0.075,True,True,True,2.472,True,,13,24,64
MGYP000005777105,8B4U,387.0,11.5,4EB0,72.73,0.043,True,True,True,2.3913,True,,18,30,72
MGYP001466241255,8B4U,469.0,11.8,6EQE,47.06,0.064,True,True,True,2.3391,True,,15,26,66
MGYP001827308749,8B4U,495.0,11.7,4EB0,29.89,0.326,True,True,True,2.3367,True,,12,24,66
MGYP000480291085,8B4U,425.0,11.5,6EQE,50.0,0.03,True,True,True,2.2967,True,,31,42,88
MGYP001627135148,8B4U,384.0,11.1,8B4U,22.66,0.717,False,True,True,2.2763,True,,11,22,62
MGYP001214305176,8B4U,423.0,10.6,8B4U,38.46,0.048,True,True,True,2.1784,True,,18,29,69
MGYP004000661279,8B4U,484.0,11.1,8B4U,23.73,0.833,False,True,True,2.159,True,,34,45,85
MGYP000877337166,8B4U,485.0,11.6,4WFI,22.68,0.674,False,True,True,2.1167,True,,24,35,75
MGYP000926693233,8B4U,396.0,11.1,4CG1,21.5,0.683,False,True,True,2.1159,True,,745,652,747
MGYP000051726688,8B4U,393.0,11.5,4EB0,23.56,0.632,False,True,True,2.0067,True,,736,886,839
MGYP000375813774,8B4U,384.0,11.8,6EQE,30.77,0.098,True,True,True,1.6404,True,,23,77,171
MGYP000159150033,8B4U,685.0,15.6,8B4U,21.4,0.777,False,True,True,1.6222,True,,623,490,546
MGYP000549049488,8B4U,921.0,24.0,8B4U,28.44,0.792,False,True,True,1.475,True,,110,229,201
MGYP002623540416,8B4U,453.0,11.3,4WFI,24.46,0.516,False,True,True,1.3021,True,,14,30,70
MGYP000663354490,8B4U,424.0,11.5,4EB0,28.37,0.477,True,True,True,0.9351,True,,697,839,810
MGYP002406049425,8B4U,430.0,11.4,4CG1,41.67,0.088,True,True,True,0.8417,True,,695,836,807
MGYP001821803099,8B4U,416.0,10.4,6EQE,35.71,0.098,True,True,True,0.8364,True,,360,214,313
MGYP001449005522,8B4U,413.0,11.6,4WFI,22.92,0.535,False,True,True,0.733,True,,58,201,205
MGYP002397570203,8B4U,390.0,9.9,4WFI,50.0,0.027,True,True,True,0.5348,True,,117,198,167
MGYP000463964594,8B4U,864.0,22.5,8B4U,25.88,0.929,False,True,True,0.3891,True,,427,541,513
MGYP002648406099,8B4U,388.0,11.9,8B4U,31.48,0.197,True,True,True,0.3875,True,,126,235,205
MGYP003646634022,8B4U,875.0,23.9,8B4U,27.13,0.914,False,True,True,0.3798,True,,116,236,207
MGYP001612270047,8B4U,470.0,11.5,8B4U,27.78,0.197,True,True,True,0.359,True,,106,90,114
MGYP000594813998,8B4U,686.0,17.1,6EQE,24.52,0.521,False,True,True,0.2892,True,,436,442,455
MGYP003294192687,8B4U,402.0,11.9,4CG1,20.65,0.618,False,True,True,0.2779,True,,253,389,237
MGYP000753561752,8B4U,388.0,11.6,6EQE,50.0,0.06,True,True,True,0.2766,True,,133,225,188
MGYP002630988062,8B4U,391.0,11.4,6EQE,24.34,0.521,False,True,True,0.2451,True,,215,352,317
MGYP003683052611,4CG1,814.0,24.8,4CG1,32.96,0.649,False,True,True,0.1935,True,,136,214,183
MGYP003625302462,4CG1,827.0,21.3,4CG1,31.51,0.519,False,True,True,0.1262,True,,137,218,186
MGYP000085150079,8B4U,385.0,11.2,6EQE,50.0,0.068,True,True,True,0.1063,True,,165,259,225
MGYP002869073862,8B4U,673.0,16.7,4WFI,25.74,0.512,False,True,True,0.0662,True,,150,256,224
